Datum;Last;Erzeugung
4.1.22 20:15;346.060;134.582
4.1.22 20:30;335.505;134.087
4.1.22 20:45;341.203;133.794
4.1.22 21:00;343.485;133.567
4.1.22 21:15;326.640;133.971
4.1.22 21:30;323.620;134.868
4.1.22 21:45;323.211;135.114
4.1.22 22:00;329.668;135.424
4.1.22 22:15;307.230;135.592
4.1.22 22:30;307.796;135.629
4.1.22 22:45;306.832;135.037
4.1.22 23:00;305.349;129.311
4.1.22 23:15;285.376;119.825
4.1.22 23:30;268.729;120.687
4.1.22 23:45;281.960;119.069
5.1.22 0:00;280.129;113.280
5.1.22 0:15;282.219;110.207
5.1.22 0:30;263.345;110.740
5.1.22 0:45;261.938;110.806
5.1.22 1:00;261.052;110.808
5.1.22 1:15;266.645;111.539
5.1.22 1:30;251.861;111.130
5.1.22 1:45;253.396;107.356
5.1.22 2:00;259.829;100.985
5.1.22 2:15;265.701;98.486
5.1.22 2:30;247.950;97.627
5.1.22 2:45;251.099;97.753
5.1.22 3:00;257.531;97.261
5.1.22 3:15;262.728;98.800
5.1.22 3:30;243.203;98.917
5.1.22 3:45;233.757;97.746
5.1.22 4:00;253.388;100.771
5.1.22 4:15;256.699;101.616
5.1.22 4:30;268.621;101.737
5.1.22 4:45;257.951;101.637
5.1.22 5:00;260.095;103.668
5.1.22 5:15;270.241;108.197
5.1.22 5:30;283.546;110.351
5.1.22 5:45;274.525;112.108
5.1.22 6:00;277.126;115.134
5.1.22 6:15;291.745;116.541
5.1.22 6:30;311.893;117.068
5.1.22 6:45;300.122;117.193
5.1.22 7:00;310.810;118.303
5.1.22 7:15;332.978;117.906
5.1.22 7:30;339.522;117.715
5.1.22 7:45;324.785;117.850
5.1.22 8:00;338.835;120.068
5.1.22 8:15;333.663;120.094
5.1.22 8:30;357.055;119.966
5.1.22 8:45;341.429;119.326
5.1.22 9:00;350.527;118.542
5.1.22 9:15;361.702;119.013
5.1.22 9:30;360.525;118.914
5.1.22 9:45;341.411;120.150
5.1.22 10:00;351.675;122.066
5.1.22 10:15;371.518;121.999
5.1.22 10:30;375.931;122.295
5.1.22 10:45;347.116;121.742
5.1.22 11:00;365.169;121.628
5.1.22 11:15;371.893;121.177
5.1.22 11:30;371.698;121.110
5.1.22 11:45;358.337;120.689
5.1.22 12:00;371.190;119.178
5.1.22 12:15;382.112;116.291
5.1.22 12:30;376.409;112.264
5.1.22 12:45;353.615;111.142
5.1.22 13:00;357.673;111.687
5.1.22 13:15;356.396;111.451
5.1.22 13:30;353.525;109.571
5.1.22 13:45;362.955;112.405
5.1.22 14:00;363.758;110.179
5.1.22 14:15;365.988;112.616
5.1.22 14:30;364.829;114.331
5.1.22 14:45;352.009;115.470
5.1.22 15:00;353.732;112.978
5.1.22 15:15;360.497;110.959
5.1.22 15:30;360.801;112.522
5.1.22 15:45;340.234;113.747
5.1.22 16:00;335.485;118.008
5.1.22 16:15;342.687;124.585
5.1.22 16:30;343.252;123.808
5.1.22 16:45;345.115;123.039
5.1.22 17:00;350.121;125.960
5.1.22 17:15;345.682;126.771
5.1.22 17:30;352.378;126.437
5.1.22 17:45;351.845;125.315
